Data;ID AZ;Cow;Lattazione;GIM;Produz.;Grasso;Proteine;Urea;CN;BHB;SCC
01/10/2024;896;IT015990436866;5;274;22,8;3,43;3,57;10;2,83;0,03;864
01/10/2024;462;IT015990361908;7;64;35,4;2,88;2,94;10,6;2,29;0,01;738
01/10/2024;1523;IT015990520563;2;229;30,6;3,48;3,76;8,2;2,98;0,03;596
01/10/2024;1542;IT015990553362;2;76;34,4;9.02 *;3,18;26,3;2,62;;592
01/10/2024;1219;IT015990490899;3;217;30,1;4,34;3,25;20,3;2,55;0,02;515
01/10/2024;1021;IT015990436991;4;284;18,7;3,94;3,83;16,7;3,09;;506
01/10/2024;1491;IT015990520531;3;48;42,1;4,15;3,06;11,4;2,38;0,01;497
01/10/2024;881;IT015990436851;4;307;19,5;3,92;3,17;18,8;2,47;0,05;451
01/10/2024;1399;IT015990520439;2;288;24,4;3,52;3,57;15,5;2,85;0,03;450
01/10/2024;1586;IT015990553406;2;321;19,6;4,42;4,23;15;3,39;0,1;428
01/10/2024;1454;IT015990520494;2;63;40,1;4,37;3,06;18,3;2,4;;400
01/10/2024;1176;IT015990490856;4;105;38,7;3,47;2,64;12;2,02;;375
01/10/2024;1386;IT015990520426;3;133;43,2;2,06;2,82;11,3;2,17;;368
01/10/2024;808;IT015990415738;5;382;20,9;5,31;4,55;13,2;3,65;0,08;365
01/10/2024;1438;IT015990520478;2;539;11,3;4,99;4,76;19,7;3,81;0,19;325
01/10/2024;742;IT015990415672;6;247;28,1;3,91;3,35;13,3;2,66;0,05;311
01/10/2024;1500;IT015990520540;2;72;31,9;3,73;3,16;8,6;2,49;0,02;283
01/10/2024;1524;IT015990520564;2;285;13,7;4,63;4,47;19,3;3,58;;282
01/10/2024;458;IT015990361904;7;304;26,6;3,39;3,16;13,1;2,5;0,07;269
01/10/2024;1351;IT015990520391;3;59;37,8;3,07;2,93;15,8;2,27;;243
01/10/2024;1316;IT015990490996;3;96;34;3,35;2,84;12,9;2,24;0,04;242
01/10/2024;323;IT015990315449;6;216;31,4;4,02;3,07;15,4;2,4;0,07;235
01/10/2024;1061;IT015990451051;3;424;19,9;4,85;4,47;21,3;3,58;0,12;231
01/10/2024;1201;IT015990490881;2;411;20,9;4,41;3,85;20;3,1;0,04;229
01/10/2024;1044;IT015990451034;3;472;19;5,08;4,14;19,4;3,18;0,08;218
